time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
2.1235,154.112,7,0.512431,0.781236,0.0732045,0.26044,0.0244158,0.260378,0.0243968,0.260418,0.0243919
2.1372,155.107,7,0.512505,0.781144,0.0732151,0.260409,0.0244154,0.260337,0.0243987,0.260397,0.0244009
2.1509,156.101,7,0.512587,0.781041,0.0732267,0.260388,0.0244231,0.260303,0.0244011,0.26035,0.0244026
2.1646,157.095,7,0.512592,0.780946,0.0732274,0.260361,0.0244275,0.260271,0.0244007,0.260314,0.0243992
2.1783,158.089,7,0.512675,0.780873,0.0732392,0.260311,0.0244247,0.260252,0.0244058,0.26031,0.0244087
2.192,159.084,7,0.512602,0.780746,0.0732289,0.260265,0.0244185,0.260211,0.0244039,0.26027,0.0244065
2.2057,160.078,7,0.512748,0.780724,0.0732497,0.260273,0.0244309,0.260202,0.0244085,0.26025,0.0244104
2.2194,161.072,7,0.512815,0.780655,0.0732593,0.260255,0.0244364,0.260177,0.0244121,0.260223,0.0244108
2.2331,162.066,7,0.512803,0.780568,0.0732576,0.260197,0.0244286,0.260149,0.0244106,0.260222,0.0244183
2.2468,163.061,7,0.512848,0.78053,0.073264,0.2602,0.0244338,0.260136,0.0244118,0.260194,0.0244185
2.2605,164.055,7,0.512994,0.780534,0.0732848,0.260201,0.0244437,0.260139,0.0244192,0.260193,0.0244219
2.2742,165.049,7,0.512973,0.780448,0.0732818,0.260153,0.0244375,0.260118,0.0244198,0.260177,0.0244246
2.2879,166.044,7,0.512996,0.780418,0.0732851,0.260156,0.0244397,0.260107,0.0244211,0.260155,0.0244244
2.3016,167.038,7,0.513268,0.780482,0.0733241,0.26018,0.0244525,0.260112,0.0244285,0.260189,0.0244431
2.3153,168.032,7,0.513145,0.780368,0.0733064,0.260141,0.0244471,0.260086,0.0244285,0.260142,0.0244309
2.329,169.026,7,0.51325,0.780388,0.0733214,0.260143,0.0244531,0.260095,0.0244302,0.26015,0.0244381
2.3427,170.021,7,0.513334,0.780388,0.0733334,0.260144,0.024454,0.260094,0.0244354,0.26015,0.0244439
2.3564,171.015,7,0.513384,0.78038,0.0733405,0.260138,0.0244549,0.260089,0.0244385,0.260153,0.0244471
2.3701,172.009,7,0.513464,0.78038,0.073352,0.260154,0.0244647,0.260085,0.0244408,0.260141,0.0244464
2.3838,173.003,7,0.513503,0.780387,0.0733575,0.260144,0.0244645,0.260096,0.0244454,0.260147,0.0244476
2.3975,173.998,7,0.513568,0.780402,0.0733669,0.260135,0.0244637,0.260107,0.024449,0.26016,0.0244541
2.4112,174.992,7,0.513632,0.78041,0.0733761,0.260144,0.024471,0.260108,0.0244532,0.260158,0.0244519
2.4249,175.986,7,0.513714,0.780435,0.0733877,0.260144,0.0244738,0.260107,0.024452,0.260184,0.0244619
2.4386,176.981,7,0.513853,0.780491,0.0734075,0.260172,0.0244813,0.260124,0.0244583,0.260195,0.0244679
2.4523,177.975,7,0.513923,0.780516,0.0734176,0.260165,0.0244782,0.260143,0.0244648,0.260208,0.0244746
2.466,178.969,7,0.513895,0.780509,0.0734135,0.260172,0.0244748,0.260141,0.0244666,0.260196,0.0244722
2.4797,179.963,7,0.513866,0.780521,0.0734094,0.260194,0.0244788,0.260136,0.0244621,0.260192,0.0244684
2.4934,180.958,7,0.514116,0.780633,0.0734452,0.260219,0.0244892,0.260193,0.0244782,0.260221,0.0244778
2.5071,181.952,7,0.514204,0.780665,0.0734577,0.260226,0.0244992,0.260199,0.0244754,0.260239,0.0244831
2.5208,182.946,7,0.514248,0.780707,0.0734641,0.260243,0.0245009,0.260191,0.0244741,0.260273,0.0244891
2.5345,183.94,7,0.514263,0.780722,0.0734662,0.260237,0.0244972,0.260216,0.0244792,0.26027,0.0244898
2.5482,184.935,7,0.514367,0.780793,0.073481,0.260261,0.024502,0.26025,0.024491,0.260282,0.0244879
2.5619,185.929,7,0.514413,0.780825,0.0734876,0.260283,0.0245089,0.260236,0.0244859,0.260305,0.0244929
2.5756,186.923,7,0.514531,0.780912,0.0735044,0.260291,0.0245085,0.260272,0.0244922,0.260349,0.0245037
2.5893,187.918,7,0.514649,0.78099,0.0735214,0.260326,0.0245152,0.260308,0.0244992,0.260356,0.0245069
2.603,188.912,7,0.514565,0.780985,0.0735093,0.26033,0.0245134,0.260311,0.024497,0.260344,0.0244989
2.6167,189.906,7,0.514698,0.781097,0.0735282,0.260363,0.0245189,0.260343,0.0245025,0.260391,0.0245069
2.6304,190.9,7,0.514807,0.781168,0.0735439,0.260387,0.0245242,0.260355,0.0245033,0.260426,0.0245165
2.6441,191.895,7,0.514806,0.781207,0.0735437,0.260402,0.0245235,0.260395,0.024511,0.26041,0.0245092
2.6578,192.889,7,0.514784,0.781262,0.0735406,0.26042,0.0245236,0.260396,0.0245066,0.260446,0.0245104
2.6715,193.883,7,0.515014,0.78141,0.0735734,0.260451,0.0245291,0.260457,0.0245188,0.260501,0.0245254
2.6852,194.877,7,0.51488,0.781397,0.0735543,0.260477,0.0245291,0.260443,0.0245079,0.260478,0.0245173
2.6989,195.872,7,0.514937,0.7815,0.0735625,0.260506,0.0245328,0.260481,0.024514,0.260513,0.0245157
2.7126,196.866,7,0.515151,0.781639,0.0735931,0.260532,0.0245367,0.260534,0.0245285,0.260572,0.0245278
2.7263,197.86,7,0.514992,0.781622,0.0735703,0.260547,0.0245368,0.26051,0.0245112,0.260565,0.0245222
2.74,198.855,7,0.515101,0.781753,0.0735858,0.260583,0.0245359,0.260573,0.0245246,0.260597,0.0245252
2.7537,199.849,7,0.515149,0.781833,0.0735927,0.260608,0.02454,0.260586,0.0245241,0.260639,0.0245286
2.7674,200.843,7,0.51512,0.781879,0.0735885,0.260628,0.0245401,0.260607,0.0245234,0.260644,0.0245251
2.7811,201.837,7,0.515115,0.78196,0.0735878,0.260649,0.024538,0.260625,0.0245196,0.260686,0.0245302
2.7948,202.832,7,0.515132,0.782054,0.0735903,0.26068,0.0245408,0.260663,0.0245208,0.26071,0.0245288
2.8085,203.826,7,0.515092,0.782113,0.0735846,0.26072,0.0245424,0.26068,0.0245193,0.260713,0.0245229
2.8222,204.82,7,0.515073,0.782181,0.0735818,0.260734,0.0245417,0.260697,0.0245115,0.26075,0.0245287
2.8359,205.814,7,0.515069,0.782266,0.0735812,0.26075,0.0245364,0.26075,0.0245198,0.260765,0.024525
2.8496,206.809,7,0.515098,0.782365,0.0735854,0.260786,0.0245392,0.260773,0.0245199,0.260806,0.0245264
2.8633,207.803,7,0.515017,0.782411,0.0735738,0.260806,0.0245354,0.26079,0.0245187,0.260814,0.0245197
2.877,208.797,7,0.514877,0.782456,0.0735538,0.260821,0.0245316,0.260796,0.0245102,0.260839,0.0245119
2.8907,209.792,7,0.514836,0.782532,0.0735479,0.26084,0.0245275,0.260812,0.0245057,0.26088,0.0245147
2.9044,210.786,7,0.51494,0.782665,0.0735629,0.260891,0.0245342,0.260844,0.0245044,0.26093,0.0245243
2.9181,211.78,7,0.514732,0.782669,0.0735331,0.2609,0.0245195,0.260853,0.0244982,0.260915,0.0245154
2.9318,212.774,7,0.514633,0.782736,0.073519,0.260902,0.0245127,0.260901,0.0244996,0.260933,0.0245067
2.9455,213.769,7,0.514535,0.782786,0.073505,0.260941,0.0245137,0.260909,0.0244929,0.260936,0.0244984
2.9592,214.763,7,0.514372,0.78282,0.0734817,0.260956,0.0245121,0.260907,0.0244781,0.260958,0.0244915
2.9729,215.757,7,0.514184,0.782843,0.0734549,0.26094,0.0244951,0.260916,0.0244687,0.260987,0.0244911
2.9866,216.751,7,0.514119,0.782919,0.0734456,0.260971,0.0244938,0.260967,0.0244718,0.260981,0.0244799
3.0003,217.746,7,0.513998,0.782978,0.0734282,0.261002,0.0244891,0.260964,0.0244649,0.261012,0.0244743
3.014,218.74,7,0.513694,0.782942,0.0733848,0.260982,0.0244729,0.260947,0.0244469,0.261013,0.024465
3.0277,219.734,7,0.51352,0.782995,0.07336,0.261012,0.0244682,0.260966,0.0244379,0.261017,0.0244539
